Index,Frequency (Hz) ,DFT Cal,DFT Mag,Rz (Ohms),R_real,R_img,R_phase
342,37.72,414.272,825.169,5020.445801,4805.6997,1452.6277,-0.2935
341,38.6,413.272,780.78,5293.071777,5136.2905,1278.7212,-0.244
340,39.5,413.237,1042.246,3964.871826,3824.1445,1046.9613,-0.2672
339,40.42,412.273,1246.647,3307.05542,3172.6858,933.1021,-0.286
338,41.36,412.311,1244.541,3312.954346,3207.167,830.5092,-0.2534
337,42.33,412.311,934.122,4413.883301,4325.8184,877.3026,-0.2001
336,43.31,413.272,859.843,4806.369141,4728.8486,859.7514,-0.1798
335,44.32,413.31,793.393,5209.393555,5104.7622,1038.837,-0.2008
334,45.36,413.272,840.387,4917.643555,4463.0088,2065.1326,-0.4334
333,46.42,413.272,905.844,4562.291016,4466.8535,928.2887,-0.2049
332,47.5,412.311,852.594,4835.956055,4728.7993,1012.3866,-0.2109
331,48.61,413.35,960.427,4303.812012,4216.1489,864.2263,-0.2022
330,49.74,413.35,1095.141,3774.398682,3684.8232,817.4124,-0.2183
329,50.9,412.438,1225.772,3364.720459,3293.1162,690.4554,-0.2067
328,52.09,413.392,1120.23,3690.241455,3606.074,783.6539,-0.214
327,53.3,413.392,866.559,4770.499512,4661.6641,1013.1904,-0.214
326,54.54,413.392,702.054,5888.321289,5798.4087,1025.0765,-0.175
325,55.81,413.484,762.814,5420.509766,5340.5918,927.3654,-0.1719
324,57.12,413.484,859.559,4810.422363,4612.292,1366.356,-0.288
323,58.45,412.535,686.706,6007.445312,5875.0542,1254.249,-0.2103
322,59.81,412.535,632.861,6518.570312,6483.96,670.8395,-0.1031
321,61.2,412.535,586.276,7036.525391,7013.0928,573.7806,-0.0816
320,62.63,412.587,614.997,6708.766602,6614.9688,1117.9177,-0.1674
319,64.09,412.587,726.736,5677.261719,5621.6001,793.0403,-0.1401
318,65.59,412.641,676.489,6099.753906,5997.6357,1111.4705,-0.1832
317,67.12,412.641,646.518,6382.525391,6316.4229,916.2054,-0.144
316,68.68,413.697,676.327,6116.816895,6041.3232,958.0509,-0.1573
315,70.28,412.698,659.501,6257.742188,6148.1445,1166.0438,-0.1874
314,71.92,412.758,707.724,5832.1875,5799.5542,616.1039,-0.1058
313,73.6,410.761,733.556,5599.589355,5451.1665,1280.6976,-0.2308
312,75.31,410.824,715.741,5739.837402,5624.6431,1144.1682,-0.2007
311,77.07,410.955,675.669,6082.190918,6007.2847,951.6158,-0.1571
310,78.87,411.886,696.628,5912.569824,5829.6279,986.8736,-0.1677
